Source,Headline,SourceURL,Date,Description,ImageURL,Sentiment,SentimentScore,Uploaded,PredictedCat
Economic Times,Inaugurate,https://economictimes.indiatimes.com/industry/transportation/railways/railways-starts-displaying-reservation-charts-vacant-seats-online/articleshow/68185065.cms,"February 27, 2019",The user-friendly interface will give graphical representation of the trai...,"https://img.etimg.com/thumb/msid-68185065,width-120,height-120/industry/transportation/railways/railways-starts-displaying-reservation-charts-vacant-seats-online.jpg",0,0.691291987895966,,P
Economic Times,Clean,https://economictimes.indiatimes.com/small-biz/startups/newsbuzz/irctc-launches-payment-aggregator-to-promote-governments-digital-india-initiative/articleshow/68199599.cms,"February 28, 2019","Under this new arrangement, IRCTC will have full control o...","https://img.etimg.com/thumb/msid-68199599,width-120,height-120/small-biz/startups/newsbuzz/irctc-launches-payment-aggregator-to-promote-governments-digital-india-initiative.jpg",1,0.163367033004761,,C
Economic Times,<h3>Samjhauta Express to run as per schedule between Delhi and Attari: Railways</h3>,https://economictimes.indiatimes.com/industry/transportation/railways/samjhauta-express-on-schedule-between-delhi-and-attari-railways/articleshow/68186706.cms,"February 27, 2019","""The train will run as per schedule as of now,"" Northern Railway spokesperson Deepak Kumar said.","https://img.etimg.com/thumb/width-165,height-123,msid-42031747/etlogo.jpg",1,0.234534993767738,,N
Economic Times,<h3>Assam to promote brand entity “Awesome Assam” on train</h3>,https://economictimes.indiatimes.com/news/politics-and-nation/assam-to-promote-brand-entity-awesome-assam-on-train/articleshow/68189365.cms,"February 27, 2019",Tourism Department of Assam has decided to use three Northeast Frontier Railway (NFR) trains to promote Assam tourism.,none,1,0.44057878851890603,,N
Economic Times,<h3>Railways to provide 45 acres of surplus land for development of Dharavi</h3>,https://economictimes.indiatimes.com/industry/transportation/railways/railways-to-provide-45-acres-of-surplus-land-for-development-of-dharavi/articleshow/68155088.cms,"February 25, 2019","Existing facilities on the land like railway quarters, which are 50 or 60 years old and in dilapidated condition, will be improved under the redevelopment project.","https://img.etimg.com/thumb/width-165,height-123,msid-42031747/etlogo.jpg",1,0.122846148908138,,N
Economic Times,<h3>JSPL emerges L1 bidder for railway order; stock up 2%</h3>,https://economictimes.indiatimes.com/markets/stocks/news/jspl-emerges-l1-bidder-for-railway-order-stock-up-1/articleshow/68111041.cms,"February 22, 2019","The share touched its 52-week high Rs 270.80 on 26 February, 2018.","https://img.etimg.com/thumb/width-165,height-123,msid-42031747/etlogo.jpg",1,0.407805383205414,,N
Economic Times,<h3>Palace on Wheels: A royal ride on Indian Railways’ luxurious train</h3>,https://economictimes.indiatimes.com/industry/transportation/railways/palace-on-wheels-a-royal-ride-on-indian-railways-luxurious-train/videoshow/67927985.cms,"February 10, 2019","Luxurious state of the art trains have attracted tourists to India from all across the globe. Among them, Palace on Wheels is dubbed as one of the best exquisite trains in the world. The name Palace on Wheels was derived from the royal background of the coaches. Unique blend of cultural and modern touches on Palace on Wheels make it an extraordinary luxury train.","https://img.etimg.com/thumb/width-165,height-123,msid-42031747/etlogo.jpg",1,0.27336472272872897,,N
Economic Times,<h3>JSL Lifestyle launches first dedicated facility for Railways</h3>,https://economictimes.indiatimes.com/industry/indl-goods/svs/steel/jsl-lifestyle-launches-first-dedicated-facility-for-railways/articleshow/68047671.cms,"February 18, 2019","The facility will produce railway coach sub-assemblies like side-wall, roof arch, trough floor and retention tanks for ICF, Chennai.","https://img.etimg.com/thumb/width-165,height-123,msid-42031747/etlogo.jpg",1,0.15522833168506603,,N
The Hindu,"
New railway terminus at Parel to be inaugurated today ",https://www.thehindu.com/news/cities/mumbai/new-railway-terminus-at-parel-to-be-inaugurated-today/article26420824.ece," March 02, 2019","
CR will extend 32 Dadar slow services to Parel
", ,1,0.24326354265213002,,P
The Hindu,"
Samjhauta Express services restored, train to run from India on March 3 ",https://www.thehindu.com/news/national/samjhauta-express-services-restored-train-to-run-from-india-on-sunday-railways/article26417575.ece," March 02, 2019","
Sources said footfall on the train, which generally records an occupancy of around 70%, had fallen d...
",https://www.thehindu.com/news/national/nvlgx7/article26394731.ece/BINARY/thumbnail/PTI2252019000137BTHNAK,1,0.40466648340225203,,N
