Source,Headline,SourceURL,Date,Details,ImageURL
Economic Times,"Railways starts displaying reservation charts, vacant seats online",https://economictimes.indiatimes.com/industry/transportation/railways/railways-starts-displaying-reservation-charts-vacant-seats-online/articleshow/68185065.cms,"February 27, 2019",The user-friendly interface will give graphical representation of the trai...,"https://img.etimg.com/thumb/msid-68185065,width-120,height-120/industry/transportation/railways/railways-starts-displaying-reservation-charts-vacant-seats-online.jpg"
Economic Times,IRCTC launches payment aggregator to promote government's Digital India initiative,https://economictimes.indiatimes.com/small-biz/startups/newsbuzz/irctc-launches-payment-aggregator-to-promote-governments-digital-india-initiative/articleshow/68199599.cms,"February 28, 2019","Under this new arrangement, IRCTC will have full control o...","https://img.etimg.com/thumb/msid-68199599,width-120,height-120/small-biz/startups/newsbuzz/irctc-launches-payment-aggregator-to-promote-governments-digital-india-initiative.jpg"
Economic Times,Samjhauta Express to run as per schedule between Delhi and Attari: Railways,https://economictimes.indiatimes.com/industry/transportation/railways/samjhauta-express-on-schedule-between-delhi-and-attari-railways/articleshow/68186706.cms,"February 27, 2019","""The train will run as per schedule as of now,"" Northern Railway spokesperson Deepak Kumar said.","https://img.etimg.com/thumb/width-165,height-123,msid-42031747/etlogo.jpg"
Economic Times,Assam to promote brand entity “Awesome Assam” on train,https://economictimes.indiatimes.com/news/politics-and-nation/assam-to-promote-brand-entity-awesome-assam-on-train/articleshow/68189365.cms,"February 27, 2019",Tourism Department of Assam has decided to use three Northeast Frontier Railway (NFR) trains to promote Assam tourism.,none
Economic Times,Railways to provide 45 acres of surplus land for development of Dharavi,https://economictimes.indiatimes.com/industry/transportation/railways/railways-to-provide-45-acres-of-surplus-land-for-development-of-dharavi/articleshow/68155088.cms,"February 25, 2019","Existing facilities on the land like railway quarters, which are 50 or 60 years old and in dilapidated condition, will be improved under the redevelopment project.","https://img.etimg.com/thumb/width-165,height-123,msid-42031747/etlogo.jpg"
Economic Times,JSPL emerges L1 bidder for railway order; stock up 2%,https://economictimes.indiatimes.com/markets/stocks/news/jspl-emerges-l1-bidder-for-railway-order-stock-up-1/articleshow/68111041.cms,"February 22, 2019","The share touched its 52-week high Rs 270.80 on 26 February, 2018.","https://img.etimg.com/thumb/width-165,height-123,msid-42031747/etlogo.jpg"
Economic Times,Palace on Wheels: A royal ride on Indian Railways’ luxurious train,https://economictimes.indiatimes.com/industry/transportation/railways/palace-on-wheels-a-royal-ride-on-indian-railways-luxurious-train/videoshow/67927985.cms,"February 10, 2019","Luxurious state of the art trains have attracted tourists to India from all across the globe. Among them, Palace on Wheels is dubbed as one of the best exquisite trains in the world. The name Palace on Wheels was derived from the royal background of the coaches. Unique blend of cultural and modern touches on Palace on Wheels make it an extraordinary luxury train.","https://img.etimg.com/thumb/width-165,height-123,msid-42031747/etlogo.jpg"
Economic Times,JSL Lifestyle launches first dedicated facility for Railways,https://economictimes.indiatimes.com/industry/indl-goods/svs/steel/jsl-lifestyle-launches-first-dedicated-facility-for-railways/articleshow/68047671.cms,"February 18, 2019","The facility will produce railway coach sub-assemblies like side-wall, roof arch, trough floor and retention tanks for ICF, Chennai.","https://img.etimg.com/thumb/width-165,height-123,msid-42031747/etlogo.jpg"
NDTV,"Indian Railways' Tatkal Ticket Charges: Timings, Charges For AC, Sleeper Classes",https://www.ndtv.com/business/irctc-indian-railways-tatkal-ticket-charges-booking-rules-cancellation-for-ac-sleeper-classes-2001755,"March  2, 2019","
                        A Tatkal ticket booking is available on payment of premium charges on a first-come-first-served basis, according to IRCTC's official website.                    ",https://c.ndtvimg.com/2019-01/j4rjbpc_jumbo-passenger-train_120x90_29_January_19.jpg
NDTV,Samjhauta Express Train To Run From India On March 3: Railways,https://www.ndtv.com/india-news/samjhauta-express-train-to-run-from-india-on-march-3-railways-2001695,"March  2, 2019","
                        A day after Wing Commander Abhinandan Varthaman was released from Pakistan's captivity, India and Pakistan have agreed to resume services of the Samjhauta Express train that connects the estranged neighbours.                    ",https://c.ndtvimg.com/2019-02/fj9d8724_samjhauta-express-india-pak-twitter_120x90_28_February_19.jpg
NDTV,"RRB NTPC Registration For 35,277 Vacancies Started, Here're Direct Links",https://www.ndtv.com/jobs/rrb-ntpc-registration-2019-for-35-277-vacancies-started-herere-direct-links-2001451,"March  1, 2019","
                        RRB NTPC application: The registration process for 35,277 vacancies in RRB NTPC posts have started on the official websites of Railway Recruitment Boards.                    ",https://c.ndtvimg.com/2019-02/4ikoos58_rrb-_120x90_15_February_19.jpg
Financial Express,"India’s 1st vertical lift Pamban bridge, Indian Railways line to Ram Setu! PM Modi to lay foundation stones",https://www.financialexpress.com/infrastructure/railways/indias-1st-vertical-lift-pamban-bridge-indian-railways-line-to-ram-setu-pm-modi-to-lay-foundation-stones/1502175/,"March 01, 2019","The Rameswaram-Dhanushkodi rail line is likely to benefit several tourists visiting the popular tourist destination. The section will also be equipped with modern signalling equipment, electronic inte",https://images.financialexpress.com/2019/03/collage-660-620x400.jpg?w=620&h=400&imflag=true
Financial Express,India cancels Samjhauta Express operations on its end amid escalating tensions with Pakistan,https://www.financialexpress.com/infrastructure/railways/india-cancels-samjhauta-express-operations-on-its-end-amid-escalating-tensions-with-pakistan/1501718/,"February 28, 2019","Pakistan has already suspended services on its end, officials said here, amidst strain in ties in the aftermath of the February 14 terror attack on CRPF personnel in Pulwama and subsequent development",https://images.financialexpress.com/2019/02/SAMJHAUTA1-620x400.jpg?w=620&h=400&imflag=true
Financial Express,"In a first, Indian Railways’ ICF makes swanky coaches for UNESCO Heritage Nilgiri Mountain Railway; see pics",https://www.financialexpress.com/infrastructure/railways/in-a-first-indian-railways-icf-makes-swanky-coaches-for-unesco-heritage-nilgiri-mountain-railway-see-pics/1501437/,"February 28, 2019","The coaches that will now run on NMR will be swankier. This is the first time, that Integral Coach Factory (ICF) has come forward for designing and developing new age steel bodied coaches for the NMR.",https://images.financialexpress.com/2019/02/nilgiri-collage-660-620x400.jpg?w=620&h=400&imflag=true
